StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      103,      00,   201304,   5.82,   52.5,   1.61,   1.61,   2.97,   1.61,      2,    420,   1.41,    .81,    .68,    .49,    .92,   -.19,    .33,   40.8,   64.2,
      103,      00,   201305,   5.12,   63.8,   1.74,   1.74,    .89,   1.74,     84,    134,     .6,   1.27,    .88,   1.25,   1.17,    .22,    .21,   52.6,   74.9,
      103,      00,   201306,   5.55,   71.9,   2.21,   2.21,   1.94,   2.21,    196,     19,   1.07,      1,   1.51,   1.39,   1.04,      1,    .28,   61.5,   82.2,
      103,      00,   201307,   4.79,   73.6,   2.57,   2.57,   1.78,   2.57,    256,      4,    .73,   1.14,   1.11,   1.17,    .99,   1.36,     .5,   63.7,   83.6,
      103,      00,   201308,    3.3,   72.8,   2.42,   2.42,    .32,   2.42,    231,     11,   -.31,    .33,    .85,   1.28,   1.57,   1.45,    .62,   62.5,   83.1,
      103,      00,   201309,   2.74,   68.3,   1.89,   1.89,   -.82,   1.47,    122,     55,   -.56,   -.62,   -.13,   1.12,   1.19,    .87,    .35,   56.4,   80.2,
      103,      00,   201310,   3.28,   55.9,   1.97,   1.97,    .82,   1.84,     13,    322,    .36,   -.21,   -.34,    .57,    .86,    .75,    .49,   44.9,   66.9,
      103,      00,   201311,   2.96,     41,   1.91,   1.91,    .43,    1.9,      0,    755,   -.08,    .14,   -.25,    .26,    .78,   1.12,    .03,   30.8,   51.1,
      103,      00,   201312,   4.26,   32.4,   2.45,   2.45,   2.19,   2.45,      0,   1065,    .98,    .55,    .55,    .23,   1.12,   1.25,    .01,   23.5,   41.4,
      103,      00,   201401,   1.95,   23.6,   1.85,   1.85,  -1.03,   1.34,      0,   1359,   -.73,    .13,   -.02,   -.27,    .39,    .64,   -.12,   12.7,   34.5,
      103,      00,   201402,   2.94,   27.1,   1.83,   1.83,    .51,   1.48,      0,   1139,    .39,    -.4,    .23,   -.12,    .27,    .73,   -.01,   17.3,   36.8,
      103,      00,   201403,   2.35,   37.9,   1.09,   1.09,  -1.64,    .01,      0,    911,  -1.16,   -.68,  -1.09,   -.34,   -.37,    .48,   -.23,     26,   49.9,
      103,      00,   201404,   5.31,   54.4,   1.62,   1.62,   1.91,   1.28,      5,    371,    1.1,    .04,    .19,    .01,   -.18,    .37,    .09,   41.9,     67,
      103,      00,   201405,   3.54,   64.3,   1.05,   1.05,  -1.19,    .19,     83,    140,   -.51,    .35,   -.31,   -.19,   -.31,    .05,    .14,   52.8,   75.8,
      103,      00,   201406,   5.77,   72.9,   1.62,   1.62,   2.02,   1.47,    227,     12,   1.24,    .33,    .82,   -.06,    .18,    .07,    .71,   62.9,   82.9,
      103,      00,   201407,   3.38,   71.2,   1.48,   1.48,    .08,   1.29,    184,     16,   -.64,    .46,   -.03,    .04,   -.08,   -.23,    .72,   60.3,   82.1,
      103,      00,   201408,   4.78,   73.9,   2.09,   2.09,   2.31,   2.09,    258,      9,    1.2,    .38,   1.01,    .25,    .27,    .09,   1.02,   63.6,   84.2,
      103,      00,   201409,   3.07,   66.3,   1.91,   1.91,    .08,   1.88,     90,     80,   -.26,    .52,    .08,    .64,   -.07,    .18,    .72,     55,   77.7,
      103,      00,   201410,   5.16,   56.1,   2.93,   2.93,   3.67,   2.93,     12,    329,   1.54,    .96,   1.35,    .88,    .79,    .61,      1,   45.4,   66.8,
      103,      00,   201411,   2.23,   37.7,   2.87,   2.87,    .73,   2.87,      0,    851,   -.69,    .74,    .37,    .83,    .45,    .44,    1.1,   28.1,   47.3,
      103,      00,   201412,   2.79,   37.1,    2.6,    2.6,    .07,   2.57,      0,    903,   -.24,   -.65,    .42,    .26,    .69,    .17,   1.03,   30.4,   43.7,
      103,      00,   201501,   1.94,   29.1,   1.99,   1.99,  -1.04,   1.46,      0,   1181,   -.75,   -.73,   -.99,    .15,    .09,    .14,    .56,   20.1,   38.2,
